TEAM NAMES,Series Number,Filename,Name,Description,Gender,Attributes,UUID,HASH
,165,temi-afro-girl,temi afro girl,Temi is know for her funny haircut and this time afro is up.,Female,hair: orange full hair; eyes: none; teeth: none; clothing: ankara; expression: cool; accessories: eye glasses; strength: loving; weakness: sheepish,4f9d99a4-78a2-4fdd-bc30-b027600fa88e,c19241bfa466cdef30b41cd7928457af831f673c27fdba211c4a48f6113c78cb
,166,jonny-the-bravo,jonny the bravo,Jonny is friendly to all and everybody sees him as kind agile Jonny.,Male,hair: orange pink; eyes: closed; teeth: candy in mouth; clothing: igbo attire; expression: relaxed; accessories: candy in mouth; strength: helping people; weakness: hastly rash,2b345988-b4b0-453b-ad39-efe1321bc8f1,92786e77beb965d015d48e787e01871d248be7b53b99d7b1858bab48feb372da
,167,tunde-the-bigman,tunde the bigman,Tunde is the big man on the street and flamboyant life style is his identity.,Male,hair: none; eyes: closed; teeth: white with one tooth missing; clothing: agbada; expression: resting; accessories: head wear; strength: money; weakness: monkey,56db423e-8b09-453e-b5fc-61f4da9d7a6f,56aea12a04425a8217373eb46c32c31cc2970dd0df90e326e80f185ddeba58f6
,168,joe-the-plain,joe the plain,Plain and simple and no one in town is more gentle that broda Joe.,Male,hair: none; eyes: watery blue eye; teeth: tongue out; clothing: agbada; expression: happy; accessories: face cap; strength: handling situation; weakness: overthinking,7a3083bd-5aa2-48b5-a30b-4445cc060f57,b0e2dcd0c24261c778ad44c3b42080c55cf3701eb6286a58ff1b61dcf893eb5b
,169,wale-sharp-guy,wale sharp guy,Wale no de carry last because he thinks and act fast.,Male,hair: none; eyes: closed; teeth: white with a tooth missing; clothing: agbada; expression: fearful; accessories: blue head scaf; strength: smart; weakness: too forward,44906ea0-901b-4b3d-802f-f73acc8758f6,a45fa61a98e0ca1a14409bf9fb58b016322f1db4453cc695b6bce6d22e58dd3e
,170,dele-the-snoozer,dele the snoozer,If sleeping were to be a job then Dele will be the world busiest man.,Male,hair: low cut; eyes: closed; teeth: gapped teeth; clothing: agbada; expression: snoozing; accessories: none; strength: loving; weakness: sleep,4f9d99a4-78a2-4fdd-bc30-b027600fa88e,9751da497a7468b09210b71c87b7e0d833b735db4e0222a34148a7ced458ddf6
,171,father -of -tolu,father of tolu,Baba Tolu is a proud father. He will sell his soul just to see Tolu excel in life.,Male,hair: none; eyes: black iris; teeth: long front tooth; clothing: ankara; expression: fearfully; accessories: head cap; strength: fatherly; weakness: women,a2651258-ca3f-4940-b095-3a61ff630263,237795e26132f76d60b9ad4e16b9fc9ee62603bdeb71805198f1d272ff578ea8
,172,emeka-the-chief,emeka the chief,Chief Emeka is the pillar of the community. Just and fair to all. The real mazi.,Male,hair: none; eyes: black iris; teeth: full white teeth; clothing: wrapper wrapped around body; expression: smiling; accessories: head cap; strength: leadership; weakness: anger,de25fd63-dafd-4f77-8072-7ac0ae3a3ab2,0b564e6eef8200f73afec65184ed02a384662831c6db6ac459d523df77c21246
,173,lawal-the-drooler,lawal the drooler,Lawal has only one business which is just to sleep and sleep. it's only normal for him to drool anytime.,Male,hair: none; eyes: teary grey iris; teeth: gapped teeth; clothing: agbada; expression: sleepy; accessories: head wear; strength: rich; weakness: alcoholism,806b640f-1c8b-4cc0-aa10-45f3ddc00140,38ee832caa29c9f4c96c19b0c14a4aa7842cf0ca7bd3539b1ad17e02de932af4
,174,solo-the-messenger,solo the messenger,"Solo is a multitasker if you need anything done in your home, Solo is your guy.",Male,hair: none; eyes: black eye; teeth: stained tooth; clothing: simple top; expression: relax; accessories: cap; strength: multitasking; weakness: women,44906ea0-901b-4b3d-802f-f73acc8758f6,97d723a909393ce31edcac1177a0318ebdcec05949e989005d15882c5692aace
,175,femi-the-honorable,femi the honorable,Honorable Femi is the modern day politician but everything he does is only to further his political career.,Male,hair: none; eyes: blue iris; skin color: brown; teeth: one missing tooth; clothing: aso oke; expression: happy; accessories: abetiaja cap; strength: public speaking; weakness: money,af53bf52-b517-4347-adc6-07cf30c19025,7fa82ff0a8c29a45c01dcdcc3e269a8555f50a130e308e5fc7898d626b4fec6c
,176,friday-the-bigsboy,friday the bigsboy,Friday always live up to his name. Every Friday is for the party.,Male,hair: orange afro; eyes: black iris; skin color: brown; teeth: none; clothing: aso oke; expression: unconcerned; accessories: cigrette in mouth; strength: money in pocket; weakness: sense of responsibility,05ec3aae-7da8-4125-93fb-6fc544e5bc61,6e6752f43522eff77481f79e0771b5a81a9f20febf32ec2c404f3d51a4381add
,177,kweku-the-planter,kweku the planter,Kweku says he did it but he dey plant until he was bursted.,Male,hair: none; eyes: closed; teeth: none; clothing: aso oke; expression: smiling; accessories: head wear; strength: industrious; weakness: criminally minded,af53bf52-b517-4347-adc6-07cf30c19025,cdd9c28f7e4d0a09e09fa7e4f23be4d4f96e44dab488e7d333af6bbb430f5841
,178,2pac-the-remix,2pac the remix,2pac is alive in him because his style is exactly the same.,Male,hair: none; eyes: blue iris; teeth: gapped teeth; clothing: Igbo clothing; expression: surprised; accessories: face cap; strength: hardworking; weakness:fear,9993e5ec-2f31-485c-9c6d-f780c078ae56,dea7e582c46a204ca95d3ba8af2449e2cc1858134e625edc40672fd15f665a73
,179,tope-the-influencer,tope the influencer,Tope is a famous influencer and she is loved by his followers which keep growing everyday.,Female,hair: none; eyes: black iris; teeth: none; clothing: agbada; expression: tired; accessories: tied head scaf; strength: Influencing people; weakness: talk too much,3b3e1f66-922b-4f87-8cdb-0d09fc143182,4d1a09b3ab8abdf9d9e230eae91538d7703cd744abe46a9c60a8ae83fa5f2bde
,180,gabby-the-evangelist,gabby the evangelist,Evangelist Gabby is blending gospel with comedy.,Male,hair: pink hair; eyes: black iris; teeth: none; clothing: agbada; expression: happily surprised; accessories: none; strength: make people happy; weakness:misleading,ac721b71-cbc5-425c-851f-ee826973f0b9,3cb621e938a15dfa33aa4e61eebd5d6a38d0bf96651150bc0ad86abf84b8ce7e
,181,beauty-of-town,beauty of town,She is the most beautiful in the neighbourhood.,Female,hair: pitch; eyes: blue;  teeth: none;  clothing: top; accessories: bow-tie;  expression: strengths: powerful; weakness: sentimental,2ae282e6-9400-43cb-bbdd-f4e61fec96b3,fd99ef75423a65f601f9a0bea1d83f5313297b2531e5063b3b093aede623ab5d
,182,lola-babe,lola babe,You will always see her in tight fittted dresses; she loves the exquisite life.,Female,hair: brown; eyes: blue; teeth: none; clothing: aso-oke; accessories: none; expression: happy; strengths: calculative; weakness: misleading,7c80747e-9ba7-4fb7-ab69-ff09c7f75d58,35624270ed54e433b07e84ac71b33d879c29401722106f4329bdf79ff69f5276
,183,cardy_h-sharp-babe,cardy h sharp babe,Cardy is the sharpest amongst her friends.,Female,hair: two brown bun; eyes: blue; teeth: none; clothing: aso-oke; accessories: none; expression: blank; strength: free spirit; weakness: misleading,14792397-de9d-4f18-b46c-f168605d09e8,fe510d0c29c8b9beffc9c0a90dc70a89a6cb757f2b97c43b1975662527af84e3
,184,bella-the-baller,bella the baller,Bella earns big; she is always out partying and buying bottles.,Female,hair: brown; eyes: blue; teeth: none; clothing: patterned top; accessories: none; expression: determined; strength: adaptation; weakness: fluency,535199d1-0705-4652-8e00-6d33db7aa4a7,2026150f4844dc22c84c8119b7a5dd2708769a7a472252c90b6677fa1de3b356
,185,milly-of-roses,milly of roses,She is very attractive but doesn't have a social life.,Female,hair: beige; eyes: blue; teeth: none; clothing: black top; accessories: none; expression: happy; strength: cool headed; weakness: pressure,3882bf86-4fe7-4b45-af74-8cd6b2fa3be7,ec5c8f2a10ddda4f290c7ac9a2532b19a3f97fdb9e08a2c17f888f279c3dcbd1
,186,preciousjada-the-viper,preciousjada the viper,Her opinions are great but her words sting like viper.,Female,hair: ginger afro; eyes: blue; teeth: white teeth; clothing: aso-oke; expression: strong-willed; strength: confidence; weakness: endurance,0d736b37-d6c9-492b-92a1-a682da4dd149,fe653f005706bbddc6e6fd70c656f2eb2a9242796917b7597349dd02fe29ce4a
,187,lolly-of-ny,lolly of ny,Most popular visual artist; alway gets praised for her creativity.,Female,hair: purple braids; eyes: black; teeth: none; clothing: black and blue top; accessories: none; expression: calculative; strength: strong willed; weakness: relationship,c41d20a9-19d6-498e-9246-e5bbb299d713,cdde91e0fdb2091c9dd985b867eb8cd3cbe9fdba1dde503cef6fe633cc5b3f8b
,188,disy-the-dancer,disy the dancer,A dancer that brings the spotlight on her.,Female,hair: black; eyes: black; teeth: none; clothing: one arm top; accessories: scarf; expression: bad girl vibes; strength: cleaniness; weakness: perfectionist,850f407d-d106-4b0e-89cd-e35d9261aedd,f219dab7838804eaf96c6ab3909b65994b1ad08892404e78cf463aff49d86a9e
,189,jenny-the-great,jenny the great,Loves burna boy; you will always catch him on his tracks.,Female,hair: black; eyes: none; teeth: none; clothing: none; accessories: scalf; expression: none; strength: badass; weakness: cancer,3caaefcd-329e-4e25-af9e-21bb07c52380,430048222e594f757a6dcfc5830181b4708530bb8c7497f1961625eef8568988
,190,lolly-the-pop,lolly the pop,Everywhere she goes she shines like a star.,Female,hair: bald; eyes: none; teeth: none; clothing: none; accessories: none; expression: none; strength: peaceful; weakness: anger,a3c79502-5fbe-45af-a498-4670fdfff629,9cf3f7fef16ea6b52fde26232f3248561597d4786c17319663365a3286469e33
,191,disy-the-queen,disy the queen,An introvert that loves her own space.,Female,hair: one bun dark brown; eyes: none; teeth: none; clothing: none; accessories: none; expression: none; strength: beauty; weakness: lover girl,c2807d94-0192-4dca-be02-1e5ac8a42d74,f3c1950d06882a2ff8d57592264930b0a0796d2ce12bd527539b6b8415ff25a8
,192,jennyp-of-lagos,jennyp of lagos,She knows all the celebrities in lagos but she stays lowkey.,Female,hair: bald; eyes: none; teeth: none; clothing: none; accessories: none; expression: none; strength: super powerful; weakness: sleeping,94a06683-6ce5-4c5f-8820-968654168980,b2bd7c1de6a729824bdc881d128eaea69dffe744e38d7be9ae9a8a707c7c54df
,193,jada-of-life,jada of life,She started a night club in lekki and now she is a millionaire.,Female,hair: male; eyes: none; teeth: none; clothing: none; accessories: none; expression: none; strength: calm; weakness: sun,c92fad1d-521e-44e0-9a56-d07ca5e77fe5,eaf2ebfc0b2984b3f50879075990898e18a30fcfc9f4736ab143bc7c744d45c2
,194,sandy-the-rapper,sandy the rapper,She just loves to rap and Quavo is her super star.,Female,hair: bald; eyes: none; teeth: none; clothing: none; accessories: none; expression: none; strength: clean; weakness: foodie,778b0412-b5b9-4b0c-bbcd-5c0fbb360fd7,51a705d595e729c5bf0430c97d01d0e6ff6fdb4ebc09e6975338564c0bce1436
,195,dahila-the-genius,dahila the genius,The genius in the family; she always wins awards.,Female,hair: bald; eyes: none; teeth: none; clothing: none; accessories: none; expression: none; strength: activist; weakness: irrational,d46f7da0-73e6-4100-b9b2-6c08d5ad561a,6f95b3a1ae9952f1c3780758423ca67be70c18d461ab3c38384465b50c3336fe
,196,rosemary-of-yaba,rosemary of yaba,She is always travellling to cotonou to buy clothes for her store.,Female,hair: bald; eyes: none; teeth: none; clothing: none; accessories: none; expression: none; strength: mind games; weakness: insomia,583fa7c2-583f-4fc6-8176-473e5c2aa92b,d39dbba0b64e342b476d1487c68c70fa9ac74d4ca07bea4ac06c906c22761d71
,197,jennifer-of -island,jennifer of island,She loves travelling; she is in maldives this year.,Female,hair: bald; eyes: none; teeth: none; clothing: none; accessories: none; expression: none; strength: strong; weakness: lateness,37552438-fdda-483a-a1a4-bdfa6ddd3ec2,be0b3e0e8f488f61c5f3782beb842a898a02e9966b5decd562732440b7b1d615
,198,opeyemi-of-lekki,opeyemi of lekki,She is a lekki socialite; braids her hairfor 85k.,Female,hair: bald; eyes: none; teeth: none; clothing: none; accessories: none; expression: none; strength: conversationist; weakness: traditionalist,65cdbeee-071a-4700-bccf-cb437f3d066d,3c4cb8a16d643a203057a7337b2358c97cce703ca6fb065426eb4d2ada961d0a
,199,vicky-the-artist,vicky the artist,An artist; she brings drawings to life.,Female,hair: bald; eyes: none; teeth: none; clothing: none; accessories: none; expression: none; strength: strong willed; weakness: crying,7247e175-bca1-4cd8-a8bb-b97cad9781a7,537f4c8f4fefc175ccd8556437583eca06bc5b1ae1bb02271f9ff95fbfc1581f
,200,afrogirl-sailor,afrogirl sailor,She loves water and sails the ocean yearly.,Female,hair: bald; eyes: none; teeth: none; clothing: none; accessories: none; expression: none; strength: height; weakness: pride,3973c584-f922-4b80-abb7-13b66d9518fa,d862f5e0c3009d50570cb2e6b50730e15bf36885e1a1423119a94cbc9e65b5ae
,201,ahmed-the-merchant,ahmed the merchant,A rich merchant that sells in babylon.,Male,hair: none; eyes: closed; teeth: none; clothing: one-hand; accessories: none; expression: smiling; strength: business; weakness: alcohol,9996ecb6-4d92-4b51-bc50-d962f68f1ecc,02e45e80770141dce25dc4dca44365f004c046cfcc7c19c75e504eb7414fa4d1
,202,blind-tonia,blind tonia,A girl that lost one of her eyes in a street fight.,Female,hair: brown; eyes: one; teeth: none; clothing: blouse; accessories: none; expression: none; strength: smiling; weakness: none,4a5f4c6d-d0dd-4b71-b095-86ef11910962,89aa159a76afcfcc758abdf8eb6eab56e9e6f00e5fee9e8ce3c6e0663e2e00b6
,203,buffy-the-vampire,buffy the vampire,A vampire diary protagonist that got bitten by a vampire in real life.,Female,hair: none; eyes: small; teeth: two; clothing: shirt; accessories: none; expression: none; strength: biting; weakness: none,bd329fd7-dd90-4180-a7a7-03e2d41535cb,0afbb9b86f22b9fd208e653df7919e8a4199b1426936b5950e86a79edf2ee424
,204,caro-lipstick,caro lipstick,"A girl that puts on lipstick always, even to bed.",Female,hair: brown; eyes: glasses; teeth: none; clothing: blouse; accessories: none; expression: sazzy; strength: none; weakness: none,a34d7a7b-d8f6-46fb-9abc-6d6d7293fffb,74654f2c9c282e503ce46e2cc924b26298c561997b2f8f8b39e4a8c1189cad85
,205,charity-the-maid,charity the maid,A maid that works for the fun of it.,Female,hair: none; eyes: small; teeth: two; clothing: shirt; accessories: none; expression: none; strength: biting; weakness: none,22286b60-5f7b-4df3-8cb1-187d02fb83d0,12548f2f15911b2c9db2139207afc81407cdabf96f0adc80e6395af5d9bdc79a
,206,charity-with-fakehair,charity with fakehair,A girl with a bald hair but always wears wig to cover her head.,Female,hair: orange; eyes: glasses; teeth: none; clothing: blouse; accessories: normal; expression: none; strength: none; weakness: barbing-saloon,efc0f7f5-d90b-46cc-be0b-6fcaa23a5422,b4ce86ac8af34d2be97b7dfbaa88416489596774f87118bd7d00802b261b1c3c
,207,daniel-the-hustler,daniel the hustler,A boy that lives in the streets of Lagos hustling everyday to make ends meet.,Male,hair: none; eyes: black; teeth: none; clothing: shirt; accessories: gang; expression: smiling; strength: hustling; weakness: alcohol,355be0ea-e500-41e1-add4-ce868759bb72,5059830be2447e2f7d60323caf8bd97a01b639b4abe535898ab36c83de262ec3
,208,grandma-nanny,grandma nanny,A grandmother that does nothing but sleeps all day.,Female,hair: white; eyes: blue; teeth: none; clothing: blouse; accessories: fashion; expression: smiling; strength: design; weakness: none,ec8fe198-5c45-42a6-a909-4cfbcbbf6519,22eaec8f85e6d74c5465bde23a3caa981741bdd90d8194dca8067c2deaf55989
,209,granpa-willy,granpa willy,A grandfather that drinks beer and reads newspaper all day.,Male,hair: white; eyes: black; teeth: none; clothing: shirt; accessories: fashion; expression: smiling; strength: reading; weakness: drinking,facf7001-d028-4e00-bffc-ed1f7c005ecc,81076ee2ffc0a1eba0696f03db29d9ecca5b93285b79e4a2f5caaf8f6ffbe6f0
,210,joshua-gang-leader,joshua gang leader,A boy born to ritualist parents and now runs his own gang.,Male,hair: brown; eyes: black; teeth: gold; clothing: shirt; accessories: ponk; expression: suspicion; strength: none; weakness: none,cc3c5c06-df96-4a0d-a09f-3359c21191f6,42b9d89a99896df8af2bb29486ce8a2f4b500b45e5858886cf00cc0512095fdf
,211,karashika-queen,karashika queen,A woman of the underworld that influences rich men into giving up their money.,Female,hair: white; eyes: glasses; teeth: none; clothing: blouse; accessories: fashion; expression: none; strength: design; weakness: boys,6e697e86-def8-4fb4-96c9-0f43ab9beea6,efb136a3bc650126a2b70d597818e2dade698ccd6cdb403bc6ec3b33869cfd92
,212,king-of-baldmen,king of baldmek,A man that was born bald and has never seen a hair on his head.,Male,hair: cap; eyes: black; teeth: none; clothing: shirt; accessories: fashion; expression: smirk; strength: deceit; weakness: none,5142f00b-10b5-47a5-ab8a-8ae71b255b04,ffdb0d55b260c883d5b4fd7502623d944bb9ef50990ce123dcb3d68b00a86833
,213,musa-masked-mouth,musa masked mouth,Musa uses a tape to cover his mouth to prevent him from talking too much.,Male,hair: cap; eyes: closed; teeth: none; clothing: shirt; accessories: fashion; expression: none; strength: dressing; weakness: none,9a5e7e95-6552-4a92-ab18-2154678943c2,a9e23084ce02e3d1f704e93f1e7aaa8008bf40b09a07e721285d51efdcbb078b
,214,queen-of-smokers,queen of smokers,A chronic smoker looking for a spouse that will join her to die of smoking.,Female,hair: brown; eyes: glasses; teeth: smoke; clothing: blouse; accessories: none; expression: none; strength: none; weakness: smoking,eb32dfc0-29ee-49db-8833-37a41a6d6d65,d62f3fef0799ec0f02a448569927e63ee1bf26f319b0198d25cee305871d63e5
,215,redlips-man,redlips man,A man that kissed a woman and got his lips burnt.,Male,hair: brown; eyes: blue; teeth: none; clothing: shirt; accessories: none; expression: frown; strength: chewing; weakness: none,4d649c12-05a5-44a4-b4ef-eb285b291aff,d23d717f4ec8063c0bd64abe3f328dcaf9a1e982db15e6da70ad48742626df2f
,216,sleevless-maid,sleevless maid,A girl that nevers wears long cloths and gets herself thrown out of churches for indecent dressing.,Female,hair: white; eyes: blue; teeth: none; clothing: shirt; accessories: tan; expression: none; strength: seduction; weakness: none,1cec0f65-2ee4-41a9-a30a-1f7aa9ccd112,c876e63f9635025c19daa78e3b945ce73558bbd44e5dfcfa1c6e1ff7828d226a
,217,stephen-bluecap,stephen bluecap,Stephen always wears blue cap even to the church.,Male,hair: cap; eyes: black; teeth: none; clothing: shirt; accessories: fashion; expression: smile; strength: kindness; weakness: none,9b9de982-0f87-47ee-ae95-0b69b48d0cdf,fc0a793dda79c946c079a56ede4f6e4b1a1b7d871884f72327f5bb5a61f499c4
,218,tinubu-gateman,tinubu gateman,Tinubu has been a gateman all his life.,Male,hair: cap; eyes: blue; teeth: tongue; clothing: shirt; accessories: fashion; expression: laugh; strength: laughter; weakness: none,c587932b-0b8c-4f70-8465-425a1f53df64,aafdcb8fd1df8b4810c83b3069474c711e1a66950d7b230c1539553dc65dd85a
,219,vampire-girl,vampire girl,She dresses up as a vampire every haloween.,Female,hair: puff-puff; eyes: blue; teeth: two; clothing: blouse; accessories: none; expression: bite; strength: biting; weakness: none,3bba4477-d84a-440f-af66-12690ea8b2e4,1cd6391069580d598706ec0ddd457132e79585e27135913bd2e43513152a7d3e
,220,yusuf-the-smoker,yusuf the smoker,A chronic smoker with damaged lungs.,Male,hair: cap; eyes: dark-brown; teeth: smoke; clothing: shirt; accessories: fashion; expression: smile; strength: dressing; weakness: smoking,2af7b970-e212-4627-b818-13c00c8d3a72,b1790c95f6a78343364a633ba24c4afff9f7f37d2358dcacfa3faee92da39854
,221,lola-hng-newbie,lola hng newbie,A confused hng participant that cannot understand her project.,Female,hair: brown; eyes: white; teeth: white; clothing: ankara; accessories: none; expression: surprised; strength: none; weakness: confused,0ddbd22c-b3bb-4c72-9f51-0361480bbfa7,810180347cc629f7e64ac2636c4111f24db63523731bd4e3399bfb715360453f
,222,nene-caroline,nene caroline,A housewife that loves taking care of her family.,Female,hair: brown; eyes: white; teeth: none; clothing:ankara; accessories: none; expression: calm; strength: loving; weakness: novice,4ce5bcf3-d4ed-4277-8187-cb1797c1ac7e,7f781ba97b08d30a12f09ba16ff3b190b0d682ae489b41ebae7da146133c2b95
,223,wazo-partystopper,wazo partystopper,A Nigerian aunty that loves to attend owambe parties.,Female,hair: black; eyes: white; teeth: none; clothing: aso oke;  accessories: none; expression: proud; strength: energetic; weakness: none,77237cce-bae0-4d60-adad-27055f0eed39,2c6564930eb40a8809a8802836dce52893b38b208942d2aacf8e7239df991990
,224,melanin-janet,melanin janet,A young lady with a soft personality.,Female,hair: brownish pink; eyes: white; teeth: none; clothing: english-ankara; accessories: none; expression: none; strength: calm; weakness: none,a5a2854e-a850-4b15-b3c3-176a79b2d34b,6941285eaec25388df1ca859066755c1eaa30da0bc8dcd99a02fcca3b62e198e
,225,leo-sugarmummy,leo sugarmummy,A middle age wild yankee returnee.,Female,hair: pumpkin; eyes: blue; teeth: none; clothing: leopard skin; accessories: none; expression: wild; strength: none; weakness: none,7ec03993-f500-4a41-aa3c-a73df7a0fbed,048c21b3fdeac4adf37c9c861c33d6656c305efa4b8e5a4d9bdb1146a86dff5d
,226,novice-joane,novice joane,A princess worried about finding true love.,Female,hair: pumpkin; eyes: blue; teeth: none; clothing: kente; accessories: none; expression: worried; strength: diligent; weakness: easily initimidated,a5d49163-41b1-43fe-ad7f-0c78ef530b1a,83d7896cede34672bee26116a5a7d6dc5d9ac8452a93aa89b3b96521808f130d
,227,goofy-simbi,goofy simbi,An eccentric teenager that loves music.,Female,hair: pumpkin; eyes: blue; teeth: none; clothing: ankara; accessories: none; expression: indifferent; strength: none; weakness: unconventional behaviour,df7dc588-f99c-4592-84f6-08b40047d9d1,96d667b21a894150578faf5527365ec28af89c0a9ff8de4bbdf7766d7b233785
,228,akwaaba-ghana,akwaaba ghana,A depressed gothic introvert.,Female,hair: purple; eyes: blue; teeth: none; clothing: kente; accessories: none; expression: depressed; strength: none; weakness: weak,d1e8b38b-994b-487c-890b-9034d3ab7dcb,c9ea04e2d35d370cca8eb93a474ea9d929a82164564976c60e419bf4cda9c76c
,229,aunty-toyin,aunty toyin,An oversabi family member.,Female,hair: pumpkin; eyes: blue; teeth: none; clothing: ankara; accessories: none; expression: carefree; strength: audacious; weakness: none,1326ef4b-224a-497e-9452-e63a4486e387,fb26f00fc88d593bde42d440a5e2e95632a26914014d4413687019299803a157
,230,pretty-hauwa,pretty hauwa,A young bride involved in an early marriage.,Female,hair: dark brown; eyes: blue; teeth: none; clothing: kente; accessories: none; expression: self-sufficient; strength: diligent; weakness: uncritical,7c771f82-a512-403c-91b9-6736318a8796,9ab62a4767cd9227de75c11472318c6cd0c5da61a4a38c2e0cfa32ef82a43816
,231,chimamanda-enugu,chimamanda enugu,A young lady born during the war.,Female,hair: brown; eyes: black; teeth: none; clothing: ankara; accessories: none; expression: none; strength: none; weakness: none,eaad5c98-3f85-4480-9c4e-b73340cfba4f,d03c5fd49eb3c0f38c8003aefbf9a998473d658b59fef6ef70a6524cab9b09f9
,232,kente-solape,kente solape,A respectful and diligent princess.,Female,hair: black; eyes: black; teeth: none; clothing: ankara; accessories: none; expression: blanch; strength: bold; weakness: none,613ce65c-4b16-43f8-a0d9-b5ea8c5f2195,b0efb75c6351cdc6868b1e3cd566bb1f77e6de4f7fd60e6b5d5110d8fed1a24d
,233,vamp-karishika,vamp karishika,Queen of the royal Ghana youths,Female,hair: brown; eyes: black; teeth: white; clothing: gele; accessories: none; expression: shocked; strength: tough; weakness: bossy,c4ee8a54-0874-4a7f-8344-dea8ba41f5dc,d489fd3165cc6f9cb2565e7a0a73dddc57838ca628aa2679ac1b9ad3432af99c
,234,genz-monique,genz monique,A sassy lady with her own vibe.,Female,hair: pinkish-brown; eyes: black; teeth: none; clothing: ankara; accessories: none; expression: despiteful; strength: none; weakness: none,b5328f13-b918-4e76-8d4c-8b4aec5eb5fe,66421711cd5f4b5dbac740d0705fd35aaa9c3e2f3970c9c42a7d129306655a25
,235,femi-boltz,femi boltz,A driver hustling his way through life.,Male,hair: black; eyes: blue; teeth: none; clothing: ankara; accessories: none; expression: proud; strength: smart; weakness: none,03e8d36d-5bdc-4da4-8f64-c1738eb9d1db,c1c4a279e477f49bf74af02406e4b4263cbfcb51dc50ef3fd07fa35ceec72c0e
,236,agba-tech,agba tech,A tech bro that loves to party but has bad communication skill.,Male,hair: black; eyes: blue; teeth: none; clothing: ankara; accessories: none; expression: proud; strength: smart; weakness: none,403f28a0-6aa7-4f80-997f-b0982c169baa,1486074085714ba1eb35679c39981d9b9f05c3bf08fd8e373bf4a1c9210e14ef
,237,brian-richkid,brian richkid,A trust fund baby that does not know how to manage money.,Male,hair: black; eyes: blue; teeth: none ; clothing: ankara; accessories: none; expression: proud ; strength: smart; weakness: none,9d945d79-dd2d-4755-b9c7-bff837be8557,a2a0b530731fdc72643da68e3d56b335367abda0d5a31115974cbd158ddcfc02
,238,nandi-zulu,nandi zulu,A fierce African Queen.,Female,hair: pumpkin; eyes: brown; teeth: none; clothing: animal skin; accessories: none; expression: energetic; strength: smart; weakness: none,09702bc0-d10c-48d3-a1e9-2aaa4e9f3f39,b24f5e01617bb05dd9c1c82c33895a1a7ea1c5cbf48a5066de26b01d50c2a528
,239,ade-demon,ade demon,A Lekki playboy that makes money from crypto.,Male,hair: none; eyes: blue; teeth: none; clothing: ankara; accessories: none; expression: proud; strength: smart; weakness: none,0be2d50b-3e57-4e39-a199-b211d2be860c,3779eb7950a682fda1e667fcf445a6b39f95ed72f39dd280231680b6554dd462
,240,karim-rapper,karim rapper,A young and proud Lagos rapper.,Male,hair: black; eyes: blue; teeth: none; clothing: ankara; accessories: none; expression: proud; strength: smart; weakness: none,169b58f8-b84a-4ab3-a4b6-d1c5b36aa1d3,7635cabad888c949651c2d3afd826298fd6e6b6714cc70af5b3b42d6a159b03a
,241,bobo-alinco,bobo alinco,Alinco always in the mood for play.,Male,hair: orange; eyes: black; teeth: rabbit front teeth; clothing: white polo and blue pinafore; accessories: none; expression: unamused; strength: good listener; weakness: mostly unserious and plays roughly a lot,17e90692-26ec-4ac5-8613-d87d00278d37,69c2f2c1e62ea1f0e78bc31e103c9d07082a6b6e95da751aae35e3d95f64e7e3
,242,chi-lastborn,chi lastborn,Baby of the house; the lastborn of an average Nigerian family.,Female,hair: black; eyes: blue bold eyes; teeth: none; clothing: animal print gown; accessories: none; expression: teary; strength: truthful; weakness: cannot keep a secret,187b9001-81a7-421b-aeea-ba64f930f6c3,7f7cede8bce7a8de156365b9db905a6c5320fef54f352d1968d1d4f906191ab3
,243,uju-robo-robo,uju robo robo,An aso-oke business woman at Balogun market.,Female,hair: black; eyes: black and grey; teeth: missing two front tooth; clothing: grey and mixed color patterned ankara; accessories: ankara beret; expression: astonished; strength: business acumen; weakness: hot tempered,8b98de66-9a2b-4229-b0d9-297b2906f548,19cb34d4f2cd0b3118325653e6fb8999a87c4cbc77b2496fa5c215a5d1bba2ee
,244,yetunde-anifowose,yetunde anifowose,Old money lady who was in UK before UK was UK.,Female,hair: brown; eyes: brown; teeth: none; clothing: blue ankara; accessories: tobacco pipe; expression: serious; strength: wealthy; weakness: condescending,5646daa8-2619-46a5-ac93-9a49f862729a,be7e9c05270939ac511f56f0ee8b298c7b9984b1a1ef7431b706a043f1c8f030
,245,dumebi-jjc,dumebi jjc,Newly admitted to the university; looking for freedom from her parents.,Female,hair: orange hair in two side buns; eyes: black; teeth: none; clothing: ankara blouse; accessories: none; expression: innocent; strength: curiousity; weakness: gullible,ed0148f9-491b-44e5-9b3b-07d3e8a48efe,88484dea74e2d58b46bd12e4be3d73069c611a1329cb1c77de8addb7abb763ee
,246,ukwu-nengi,ukwu nengi,Well endowed woman who will always make heads turn.,Female,"hair: dark brown; eyes: black and grey; teeth: none; clothing: orange, blue, yellow and black ankara; accessories: none; expression: straight faced; strength: smart; weakness: cunny",32a9fc99-8b86-407d-9d66-2c9aaa8200e8,52d5ded44c24bbe1ca6d23f69a831c8b854fbf0855587d405ec6c0dc4bdab1bd
